Campaign ID,First Name,Campaign Type,Marketing Channel,Start Date,End Date,Budgeted cost,Impressions,Clicks,CTR %,Leads Generated,Qualified Leads,Opportunities Created,Conversions,Conversion Rate %,Revenue Generated,ROI %,Cost Per Lead (CPL),Cost Per Acquisition (CPA),Assigned Marketing Manager,Campaign Status,Customer Segment,Region,Actual Spend,Channel,UTM  Campaign,UTM Source,UTM Medium
CMP-001,Campaign 1,Webinar,LinkedIn,2026-02-04,2026-03-22,45980,342914,3719,1.08,612,505,322,291,47.55,184846.49,302.01,75.13,158.01,Aisha Khan,Planned,Education,West,45980,email,Campaign 1,google,cpc
CMP-002,Campaign 2,Event,Facebook,2026-06-07,2026-07-15,11390,425129,14498,3.41,130,103,54,46,35.38,31569.4,177.17,87.62,247.61,Priya Singh,In Progress,Enterprise,Central,11390,paid search,Campaign 2,google,cpc
CMP-003,Campaign 3,Event,Referral,2026-06-16,2026-08-07,15647,22353,10298,46.07,62,47,24,13,20.97,73226.17,367.99,252.37,1203.62,Priya Singh,Completed,Enterprise,West,15647,paid social,Campaign 3,google,cpc
CMP-004,Campaign 4,Search Ads,Referral,2026-05-05,2026-06-27,42983,382549,1321,0.35,435,397,139,93,21.38,226812.74,427.68,98.81,462.18,Rahul Mehta,Completed,Enterprise,West,42983,webinar,Campaign 4,google,cpc
CMP-005,Campaign 5,Event,Referral,2026-02-10,2026-04-09,45740,63377,10630,16.77,289,167,148,103,35.64,209916.3,358.93,158.27,444.08,Aisha Khan,Completed,Education,North,45740,event,Campaign 5,google,cpc
CMP-006,Campaign 6,Event,Email,2026-03-18,2026-04-30,22881,468518,11387,2.43,142,133,49,46,32.39,65739.73,187.31,161.13,497.41,Rahul Mehta,Planned,SMB,West,22881,referral,Campaign 6,google,cpc
CMP-007,Campaign 7,Email,Google Ads,2026-06-10,2026-06-28,34673,218327,10135,4.64,602,451,266,213,35.38,169651.86,389.29,57.6,162.78,Aman Verma,In Progress,Retail,North,34673,email,Campaign 7,google,cpc
CMP-008,Campaign 8,Event,LinkedIn,2026-05-16,2026-06-24,33305,417301,5288,1.27,257,141,93,63,24.51,243101.97,629.93,129.59,528.65,Aisha Khan,Completed,SMB,North,33305,paid search,Campaign 8,google,cpc
CMP-009,Campaign 9,Search Ads,Instagram,2026-02-20,2026-04-11,6477,90522,11795,13.03,515,382,353,191,37.09,23542.28,263.48,12.58,33.91,Priya Singh,Planned,SMB,East,6477,paid social,Campaign 9,google,cpc
CMP-010,Campaign 10,Email,Google Ads,2026-01-02,2026-02-24,49559,96572,18471,19.13,114,68,46,41,35.96,327963.79,561.76,434.73,1208.76,Aisha Khan,In Progress,Education,West,49559,webinar,Campaign 10,google,cpc
CMP-011,Campaign 11,Webinar,Referral,2026-06-23,2026-08-20,12737,93312,11580,12.41,120,114,63,35,29.17,52762.79,314.25,106.14,363.91,Aman Verma,Planned,Enterprise,South,12737,event,Campaign 11,google,cpc
CMP-012,Campaign 12,Social Media,Instagram,2026-02-19,2026-04-09,41068,209544,16047,7.66,122,99,69,56,45.9,168660.94,310.69,336.62,733.36,Priya Singh,Planned,SMB,Central,41068,referral,Campaign 12,google,cpc
CMP-013,Campaign 13,Search Ads,Instagram,2026-01-11,2026-02-18,17769,399601,8134,2.04,507,467,200,100,19.72,139372.53,684.36,35.05,177.69,Aisha Khan,Completed,Education,Central,17769,email,Campaign 13,google,cpc
CMP-014,Campaign 14,Webinar,Email,2026-02-24,2026-03-28,11342,462314,17580,3.8,792,785,669,646,81.57,45965.46,305.27,14.32,17.56,Priya Singh,In Progress,Retail,South,11342,paid search,Campaign 14,google,cpc
CMP-015,Campaign 15,Email,Google Ads,2026-03-01,2026-04-17,13247,458437,7544,1.65,287,201,171,136,47.39,76504.5,477.52,46.16,97.4,Aisha Khan,Planned,SMB,West,13247,paid social,Campaign 15,google,cpc
CMP-016,Campaign 16,Email,Email,2026-05-28,2026-07-13,27383,76003,7540,9.92,157,80,36,21,13.38,102327.95,273.69,174.41,1303.95,Aisha Khan,Planned,Enterprise,East,27383,webinar,Campaign 16,google,cpc
CMP-017,Campaign 17,Event,Email,2026-06-06,2026-06-29,15297,118130,17303,14.65,188,168,134,79,42.02,66886.88,337.25,81.37,193.63,Aisha Khan,In Progress,SMB,East,15297,event,Campaign 17,google,cpc
CMP-018,Campaign 18,Email,Facebook,2026-02-11,2026-04-06,19124,152423,6485,4.25,653,310,206,188,28.79,56801.3,197.02,29.29,101.72,Rahul Mehta,Completed,Healthcare,Central,19124,referral,Campaign 18,google,cpc
CMP-019,Campaign 19,Email,Google Ads,2026-06-22,2026-08-19,20642,59612,18561,31.14,99,70,44,25,25.25,59527.82,188.38,208.51,825.68,Rahul Mehta,Planned,SMB,Central,20642,email,Campaign 19,google,cpc
CMP-020,Campaign 20,Social Media,Instagram,2026-03-07,2026-03-22,15635,99813,5523,5.53,284,136,46,44,15.49,113128.17,623.56,55.05,355.34,Aisha Khan,Planned,SMB,East,15635,paid search,Campaign 20,google,cpc
CMP-021,Campaign 21,Webinar,Google Ads,2026-02-25,2026-04-18,14460,234006,19574,8.36,276,120,64,51,18.48,87144.06,502.66,52.39,283.53,Neha Sharma,Completed,Retail,Central,14460,paid social,Campaign 21,google,cpc
CMP-022,Campaign 22,Social Media,Facebook,2026-02-07,2026-02-27,13282,337260,9667,2.87,595,444,314,267,44.87,55175.43,315.42,22.32,49.75,Aman Verma,Planned,SMB,West,13282,webinar,Campaign 22,google,cpc
CMP-023,Campaign 23,Email,Referral,2026-03-09,2026-04-21,10845,208578,15745,7.55,309,255,199,180,58.25,36096.69,232.84,35.1,60.25,Rahul Mehta,Completed,SMB,East,10845,event,Campaign 23,google,cpc
CMP-024,Campaign 24,Webinar,Facebook,2026-02-27,2026-03-20,33198,15875,4040,25.45,595,336,142,89,14.96,86944.84,161.9,55.79,373.01,Aisha Khan,Planned,Enterprise,West,33198,referral,Campaign 24,google,cpc
CMP-025,Campaign 25,Webinar,Facebook,2026-04-25,2026-06-06,39777,132673,17078,12.87,290,122,72,62,21.38,252022.42,533.59,137.16,641.56,Aisha Khan,In Progress,Enterprise,North,39777,email,Campaign 25,google,cpc
CMP-026,Campaign 26,Webinar,Facebook,2026-05-19,2026-07-10,7027,244581,1079,0.44,133,101,78,44,33.08,39501.07,462.13,52.83,159.7,Aisha Khan,Completed,Education,Central,7027,paid search,Campaign 26,google,cpc
CMP-027,Campaign 27,Product Launch,Referral,2026-03-14,2026-04-25,44899,444097,3033,0.68,586,581,420,386,65.87,256156.05,470.52,76.62,116.32,Neha Sharma,In Progress,Retail,West,44899,paid social,Campaign 27,google,cpc
CMP-028,Campaign 28,Social Media,Google Ads,2026-05-11,2026-06-27,23623,216723,18193,8.39,193,182,90,74,38.34,75674.07,220.34,122.4,319.23,Rahul Mehta,In Progress,Retail,South,23623,webinar,Campaign 28,google,cpc
CMP-029,Campaign 29,Product Launch,Facebook,2026-03-25,2026-05-19,30474,116387,6665,5.73,390,247,205,175,44.87,107217.77,251.83,78.14,174.14,Aisha Khan,In Progress,SMB,East,30474,event,Campaign 29,google,cpc
CMP-030,Campaign 30,Product Launch,LinkedIn,2026-05-01,2026-06-02,15398,448610,3260,0.73,315,159,143,89,28.25,122991.05,698.75,48.88,173.01,Priya Singh,Completed,SMB,East,15398,referral,Campaign 30,google,cpc
CMP-031,Campaign 31,Event,Referral,2026-04-02,2026-05-12,6866,383387,7125,1.86,161,147,49,38,23.6,31217.11,354.66,42.65,180.68,Priya Singh,Planned,Healthcare,Central,6866,email,Campaign 31,google,cpc
CMP-032,Campaign 32,Product Launch,Facebook,2026-06-29,2026-07-25,36027,283750,15929,5.61,757,753,411,311,41.08,190001.69,427.39,47.59,115.84,Aisha Khan,In Progress,SMB,West,36027,paid search,Campaign 32,google,cpc
CMP-033,Campaign 33,Webinar,LinkedIn,2026-05-03,2026-05-25,20441,441797,2591,0.59,486,432,147,132,27.16,102529.9,401.59,42.06,154.86,Neha Sharma,In Progress,Healthcare,West,20441,paid social,Campaign 33,google,cpc
CMP-034,Campaign 34,Search Ads,Email,2026-02-19,2026-03-15,36462,408839,7969,1.95,231,102,73,69,29.87,241808.38,563.18,157.84,528.43,Aman Verma,Planned,Retail,Central,36462,webinar,Campaign 34,google,cpc
CMP-035,Campaign 35,Email,Email,2026-01-08,2026-03-01,38315,62307,14065,22.57,569,334,231,163,28.65,156842.25,309.35,67.34,235.06,Aisha Khan,Completed,Retail,South,38315,event,Campaign 35,google,cpc
CMP-036,Campaign 36,Search Ads,Email,2026-05-19,2026-06-22,16001,319114,5157,1.62,574,550,436,258,44.95,86553.58,440.93,27.88,62.02,Aman Verma,In Progress,Healthcare,North,16001,referral,Campaign 36,google,cpc
CMP-037,Campaign 37,Event,Google Ads,2026-04-01,2026-05-05,43449,398712,6395,1.6,100,52,29,21,21,292426.74,573.03,434.49,2069,Aman Verma,Planned,Healthcare,East,43449,email,Campaign 37,google,cpc
CMP-038,Campaign 38,Product Launch,Google Ads,2026-05-19,2026-06-23,39364,471957,13003,2.76,533,474,361,302,56.66,108457.68,175.53,73.85,130.34,Neha Sharma,In Progress,Education,West,39364,paid search,Campaign 38,google,cpc
CMP-039,Campaign 39,Social Media,Email,2026-05-30,2026-07-29,12320,62072,3270,5.27,624,499,268,168,26.92,33745.49,173.91,19.74,73.33,Neha Sharma,Planned,Enterprise,North,12320,paid social,Campaign 39,google,cpc
CMP-040,Campaign 40,Product Launch,Google Ads,2026-01-24,2026-02-13,46038,195818,19356,9.88,452,281,142,83,18.36,254628.27,453.08,101.85,554.67,Aisha Khan,Planned,Healthcare,South,46038,webinar,Campaign 40,google,cpc
CMP-041,Campaign 41,Social Media,Instagram,2026-06-06,2026-07-22,6260,467548,8096,1.73,155,125,88,65,41.94,42715.1,582.35,40.39,96.31,Rahul Mehta,Completed,Healthcare,Central,6260,event,Campaign 41,google,cpc
CMP-042,Campaign 42,Webinar,LinkedIn,2026-06-06,2026-07-30,41134,295895,1817,0.61,672,344,134,131,19.49,279419.57,579.29,61.21,314,Aisha Khan,In Progress,SMB,West,41134,referral,Campaign 42,google,cpc
CMP-043,Campaign 43,Social Media,LinkedIn,2026-06-10,2026-07-21,35771,428757,16885,3.94,257,229,173,173,67.32,83214.83,132.63,139.19,206.77,Aisha Khan,Planned,SMB,South,35771,email,Campaign 43,google,cpc
CMP-044,Campaign 44,Webinar,Referral,2026-01-02,2026-01-18,49979,41631,16972,40.77,341,237,81,77,22.58,300677.05,501.61,146.57,649.08,Neha Sharma,Completed,SMB,North,49979,paid search,Campaign 44,google,cpc
CMP-045,Campaign 45,Product Launch,Facebook,2026-02-24,2026-03-28,42741,119760,9743,8.14,724,353,309,207,28.59,196001.7,358.58,59.03,206.48,Neha Sharma,In Progress,Healthcare,Central,42741,paid social,Campaign 45,google,cpc
CMP-046,Campaign 46,Email,Instagram,2026-01-21,2026-02-10,44520,444564,9957,2.24,162,114,99,56,34.57,311927.74,600.65,274.81,795,Aisha Khan,In Progress,SMB,East,44520,webinar,Campaign 46,google,cpc
CMP-047,Campaign 47,Webinar,Email,2026-03-02,2026-04-11,31621,173847,8416,4.84,105,89,35,30,28.57,226750.33,617.09,301.15,1054.03,Aman Verma,Planned,Enterprise,North,31621,event,Campaign 47,google,cpc
CMP-048,Campaign 48,Search Ads,Email,2026-01-25,2026-02-21,41749,35629,7417,20.82,438,239,215,126,28.77,85454.75,104.69,95.32,331.34,Neha Sharma,Completed,Healthcare,North,41749,referral,Campaign 48,google,cpc
CMP-049,Campaign 49,Search Ads,Google Ads,2026-03-11,2026-04-19,23522,294558,6089,2.07,489,411,408,214,43.76,52584.72,123.56,48.1,109.92,Priya Singh,Planned,Enterprise,East,23522,email,Campaign 49,google,cpc
CMP-050,Campaign 50,Webinar,Google Ads,2026-01-26,2026-02-12,18090,422193,3971,0.94,487,384,288,219,44.97,121460.79,571.43,37.15,82.6,Neha Sharma,Completed,Enterprise,South,18090,paid search,Campaign 50,google,cpc
CMP-051,Campaign 51,Search Ads,LinkedIn,2026-05-14,2026-06-07,22900,126690,1022,0.81,226,155,61,45,19.91,167222.61,630.23,101.33,508.89,Aman Verma,Completed,Healthcare,West,22900,paid social,Campaign 51,google,cpc
CMP-052,Campaign 52,Email,LinkedIn,2026-03-15,2026-04-19,42879,141924,13228,9.32,308,173,59,31,10.06,235051.09,448.17,139.22,1383.19,Rahul Mehta,Planned,Retail,East,42879,webinar,Campaign 52,google,cpc
CMP-053,Campaign 53,Product Launch,Referral,2026-04-06,2026-05-06,9737,382866,15376,4.02,319,276,268,260,81.5,32509.32,233.87,30.52,37.45,Aman Verma,In Progress,SMB,East,9737,event,Campaign 53,google,cpc
CMP-054,Campaign 54,Webinar,Facebook,2026-01-07,2026-02-22,25050,471094,17799,3.78,735,550,375,269,36.6,58394.2,133.11,34.08,93.12,Priya Singh,Planned,Retail,South,25050,referral,Campaign 54,google,cpc
CMP-055,Campaign 55,Product Launch,Facebook,2026-02-05,2026-03-03,14444,268151,19144,7.14,374,241,203,189,50.53,89889.8,522.33,38.62,76.42,Priya Singh,In Progress,Healthcare,West,14444,email,Campaign 55,google,cpc
CMP-056,Campaign 56,Email,Google Ads,2026-03-21,2026-04-19,45373,322834,1278,0.4,712,438,359,322,45.22,266597.59,487.57,63.73,140.91,Neha Sharma,In Progress,Education,North,45373,paid search,Campaign 56,google,cpc
CMP-057,Campaign 57,Search Ads,Instagram,2026-06-17,2026-08-04,19116,374282,13412,3.58,181,152,112,101,55.8,53592.08,180.35,105.61,189.27,Rahul Mehta,Planned,Enterprise,North,19116,paid social,Campaign 57,google,cpc
CMP-058,Campaign 58,Social Media,Referral,2026-02-06,2026-03-16,17692,468058,2396,0.51,403,250,198,192,47.64,62086.65,250.93,43.9,92.15,Aman Verma,Completed,Education,East,17692,webinar,Campaign 58,google,cpc
CMP-059,Campaign 59,Social Media,Facebook,2026-02-04,2026-02-19,46668,181757,13226,7.28,69,31,10,8,11.59,199659.61,327.83,676.35,5833.5,Rahul Mehta,Completed,Retail,West,46668,event,Campaign 59,google,cpc
CMP-060,Campaign 60,Webinar,LinkedIn,2026-06-04,2026-07-30,49140,19260,920,4.78,97,45,18,12,12.37,201649.65,310.36,506.6,4095,Rahul Mehta,Completed,Retail,Central,49140,referral,Campaign 60,google,cpc
CMP-061,Campaign 61,Webinar,Email,2026-03-14,2026-04-22,42132,252371,9027,3.58,211,157,140,126,59.72,159351.13,278.22,199.68,334.38,Aisha Khan,Completed,Education,North,42132,email,Campaign 61,google,cpc
CMP-062,Campaign 62,Social Media,Email,2026-02-12,2026-04-07,40153,48248,8425,17.46,574,469,202,195,33.97,148204.92,269.1,69.95,205.91,Rahul Mehta,Completed,Retail,Central,40153,paid search,Campaign 62,google,cpc
CMP-063,Campaign 63,Event,Facebook,2026-01-25,2026-03-13,48256,234958,18549,7.89,436,349,286,152,34.86,123961.74,156.88,110.68,317.47,Neha Sharma,Planned,Retail,South,48256,paid social,Campaign 63,google,cpc
CMP-064,Campaign 64,Product Launch,Referral,2026-03-22,2026-05-01,39901,442101,4247,0.96,343,335,299,268,78.13,282715.83,608.54,116.33,148.88,Aisha Khan,In Progress,SMB,South,39901,webinar,Campaign 64,google,cpc
CMP-065,Campaign 65,Product Launch,Facebook,2026-04-09,2026-05-15,8837,473712,10269,2.17,722,322,169,134,18.56,63943.9,623.59,12.24,65.95,Priya Singh,In Progress,Retail,South,8837,event,Campaign 65,google,cpc
CMP-066,Campaign 66,Social Media,Facebook,2026-06-10,2026-08-09,21788,467288,8534,1.83,281,134,113,82,29.18,105695.29,385.11,77.54,265.71,Aisha Khan,Planned,SMB,North,21788,referral,Campaign 66,google,cpc
CMP-067,Campaign 67,Email,Google Ads,2026-02-01,2026-03-26,32778,409562,6828,1.67,618,257,256,237,38.35,241257.47,636.03,53.04,138.3,Aisha Khan,Planned,Enterprise,South,32778,email,Campaign 67,google,cpc
CMP-068,Campaign 68,Webinar,Google Ads,2026-02-26,2026-03-23,30615,111038,12041,10.84,251,182,69,43,17.13,130945.19,327.72,121.97,711.98,Neha Sharma,Completed,SMB,South,30615,paid search,Campaign 68,google,cpc
CMP-069,Campaign 69,Search Ads,Facebook,2026-05-27,2026-07-01,31214,55110,17838,32.37,263,153,45,41,15.59,81824.24,162.14,118.68,761.32,Rahul Mehta,Planned,Enterprise,North,31214,paid social,Campaign 69,google,cpc
CMP-070,Campaign 70,Search Ads,Instagram,2026-01-24,2026-02-18,29095,50377,3829,7.6,766,565,505,378,49.35,106702.99,266.74,37.98,76.97,Priya Singh,Planned,Retail,South,29095,webinar,Campaign 70,google,cpc
CMP-071,Campaign 71,Product Launch,Instagram,2026-01-17,2026-03-10,49918,427286,8498,1.99,339,259,196,170,50.15,155128.23,210.77,147.25,293.64,Aman Verma,Completed,Enterprise,North,49918,event,Campaign 71,google,cpc
CMP-072,Campaign 72,Social Media,Google Ads,2026-06-25,2026-08-10,25504,376408,7738,2.06,270,253,143,110,40.74,123712.82,385.07,94.46,231.85,Aisha Khan,Completed,Enterprise,East,25504,referral,Campaign 72,google,cpc
CMP-073,Campaign 73,Email,Instagram,2026-01-01,2026-02-03,27417,195506,8925,4.57,208,143,64,35,16.83,177913.99,548.92,131.81,783.34,Priya Singh,Planned,Healthcare,West,27417,email,Campaign 73,google,cpc
CMP-074,Campaign 74,Search Ads,Google Ads,2026-05-05,2026-06-15,18545,61077,9268,15.17,536,513,451,403,75.19,93286.91,403.03,34.6,46.02,Rahul Mehta,Completed,SMB,West,18545,paid search,Campaign 74,google,cpc
CMP-075,Campaign 75,Email,Instagram,2026-05-06,2026-07-02,36232,343477,13213,3.85,233,103,96,58,24.89,155026.9,327.87,155.5,624.69,Aisha Khan,In Progress,Retail,North,36232,paid social,Campaign 75,google,cpc
CMP-076,Campaign 76,Email,Referral,2026-05-05,2026-05-30,34050,472988,12973,2.74,424,176,74,48,11.32,94357.18,177.11,80.31,709.38,Aman Verma,In Progress,Retail,South,34050,webinar,Campaign 76,google,cpc
CMP-077,Campaign 77,Webinar,Facebook,2026-06-15,2026-08-04,43729,399522,5236,1.31,491,304,106,93,18.94,127626.04,191.86,89.06,470.2,Rahul Mehta,In Progress,Enterprise,South,43729,event,Campaign 77,google,cpc
CMP-078,Campaign 78,Webinar,Google Ads,2026-05-16,2026-07-15,25013,416934,8153,1.96,718,494,293,247,34.4,184713.36,638.47,34.84,101.27,Neha Sharma,Completed,SMB,North,25013,referral,Campaign 78,google,cpc
CMP-079,Campaign 79,Product Launch,Instagram,2026-03-02,2026-04-07,45182,171607,11550,6.73,234,163,152,115,49.15,325293.6,619.96,193.09,392.89,Aman Verma,Completed,SMB,East,45182,email,Campaign 79,google,cpc
CMP-080,Campaign 80,Product Launch,Email,2026-04-11,2026-06-10,21858,97708,13238,13.55,235,147,82,53,22.55,101054.87,362.32,93.01,412.42,Rahul Mehta,Completed,Retail,West,21858,paid search,Campaign 80,google,cpc
CMP-081,Campaign 81,Email,Referral,2026-02-22,2026-04-17,40493,423757,7493,1.77,166,151,64,43,25.9,178409.68,340.59,243.93,941.7,Rahul Mehta,In Progress,Retail,Central,40493,paid social,Campaign 81,google,cpc
CMP-082,Campaign 82,Search Ads,Google Ads,2026-04-13,2026-05-03,6209,125219,8118,6.48,525,386,128,96,18.29,43605.46,602.29,11.83,64.68,Priya Singh,Completed,Education,Central,6209,webinar,Campaign 82,google,cpc
CMP-083,Campaign 83,Product Launch,Google Ads,2026-05-18,2026-06-20,26393,359602,5954,1.66,182,104,67,44,24.18,112839.8,327.54,145.02,599.84,Rahul Mehta,In Progress,Enterprise,North,26393,event,Campaign 83,google,cpc
CMP-084,Campaign 84,Webinar,LinkedIn,2026-03-07,2026-04-23,14308,131231,4784,3.65,798,597,233,123,15.41,109148.36,662.85,17.93,116.33,Priya Singh,Planned,Education,Central,14308,referral,Campaign 84,google,cpc
CMP-085,Campaign 85,Search Ads,Google Ads,2026-02-02,2026-03-09,18793,334570,13905,4.16,686,533,341,223,32.51,123945.8,559.53,27.4,84.27,Priya Singh,Completed,Healthcare,South,18793,email,Campaign 85,google,cpc
CMP-086,Campaign 86,Search Ads,Facebook,2026-06-16,2026-07-09,34281,399128,14854,3.72,397,228,205,158,39.8,96534.07,181.6,86.35,216.97,Neha Sharma,Completed,Enterprise,East,34281,paid search,Campaign 86,google,cpc
CMP-087,Campaign 87,Search Ads,Google Ads,2026-04-17,2026-06-16,14893,404749,8398,2.07,592,499,464,235,39.7,89520.45,501.09,25.16,63.37,Aisha Khan,Completed,Enterprise,Central,14893,paid social,Campaign 87,google,cpc
CMP-088,Campaign 88,Email,Google Ads,2026-06-20,2026-08-08,36103,89453,11271,12.6,628,480,369,335,53.34,123472.03,242,57.49,107.77,Neha Sharma,Planned,SMB,North,36103,webinar,Campaign 88,google,cpc
CMP-089,Campaign 89,Search Ads,Facebook,2026-04-24,2026-05-29,33626,155010,13588,8.77,371,303,237,230,61.99,104558.01,210.94,90.64,146.2,Aisha Khan,In Progress,Healthcare,South,33626,event,Campaign 89,google,cpc
CMP-090,Campaign 90,Webinar,Email,2026-02-03,2026-03-09,49854,329975,8405,2.55,129,52,16,9,6.98,193118.65,287.37,386.47,5539.33,Aman Verma,In Progress,Retail,West,49854,referral,Campaign 90,google,cpc
CMP-091,Campaign 91,Social Media,Referral,2026-01-07,2026-02-07,7535,165213,7081,4.29,205,128,54,47,22.93,16165.04,114.53,36.76,160.32,Neha Sharma,Planned,Healthcare,West,7535,email,Campaign 91,google,cpc
CMP-092,Campaign 92,Search Ads,Referral,2026-05-05,2026-05-20,42412,284908,17955,6.3,335,190,131,105,31.34,245131.46,477.98,126.6,403.92,Aisha Khan,Completed,Enterprise,South,42412,paid search,Campaign 92,google,cpc
CMP-093,Campaign 93,Webinar,Referral,2026-03-25,2026-05-09,30128,379764,9076,2.39,107,92,27,25,23.36,69981.19,132.28,281.57,1205.12,Rahul Mehta,In Progress,Healthcare,North,30128,paid social,Campaign 93,google,cpc
CMP-094,Campaign 94,Email,Email,2026-02-04,2026-03-07,5289,251706,10918,4.34,490,462,284,228,46.53,11864.59,124.33,10.79,23.2,Rahul Mehta,Completed,Education,Central,5289,webinar,Campaign 94,google,cpc
CMP-095,Campaign 95,Product Launch,Email,2026-03-09,2026-04-08,41546,248679,2035,0.82,375,375,171,170,45.33,196369.98,372.66,110.79,244.39,Aman Verma,Completed,Healthcare,South,41546,event,Campaign 95,google,cpc
CMP-096,Campaign 96,Social Media,LinkedIn,2026-01-04,2026-02-02,22643,88495,16777,18.96,723,414,313,199,27.52,178010.65,686.16,31.32,113.78,Aisha Khan,Completed,Education,East,22643,referral,Campaign 96,google,cpc
CMP-097,Campaign 97,Email,LinkedIn,2026-05-02,2026-05-30,22421,333497,845,0.25,334,134,111,90,26.95,70434.67,214.15,67.13,249.12,Aisha Khan,In Progress,Healthcare,East,22421,email,Campaign 97,google,cpc
CMP-098,Campaign 98,Product Launch,Email,2026-03-08,2026-04-20,18246,196019,12768,6.51,117,93,35,19,16.24,44244.2,142.49,155.95,960.32,Neha Sharma,Completed,SMB,South,18246,paid search,Campaign 98,google,cpc
CMP-099,Campaign 99,Social Media,Instagram,2026-05-29,2026-07-17,37382,312413,6837,2.19,612,285,282,278,45.42,100380.64,168.53,61.08,134.47,Rahul Mehta,Planned,Retail,South,37382,paid social,Campaign 99,google,cpc
CMP-100,Campaign 100,Event,Instagram,2026-02-07,2026-02-25,38670,370258,15795,4.27,269,219,217,146,54.28,173715,349.22,143.75,264.86,Rahul Mehta,Completed,Healthcare,East,38670,webinar,Campaign 100,google,cpc
